item,itemLabel
http://www.wikidata.org/entity/Q137771442,sitelen pona
http://www.wikidata.org/entity/Q137771440,pona lukin
http://www.wikidata.org/entity/Q137771441,sitelen ma
http://www.wikidata.org/entity/Q137771446,sitelen toki
http://www.wikidata.org/entity/Q137771447,sona ma
http://www.wikidata.org/entity/Q137771444,sitelen sitelen
http://www.wikidata.org/entity/Q137771445,sitelen tawa
http://www.wikidata.org/entity/Q137771450,sona sijelo
http://www.wikidata.org/entity/Q137771451,sona toki
http://www.wikidata.org/entity/Q137771448,sona nanpa
http://www.wikidata.org/entity/Q137771449,sona pona
http://www.wikidata.org/entity/Q137771454,supa lape
http://www.wikidata.org/entity/Q137771455,supa monsi
http://www.wikidata.org/entity/Q137771453,suno sama
http://www.wikidata.org/entity/Q137771458,toki sin
http://www.wikidata.org/entity/Q137771459,toki sona
http://www.wikidata.org/entity/Q137771456,tenpo ni
http://www.wikidata.org/entity/Q137771457,toki pona
http://www.wikidata.org/entity/Q137771462,tomo tawa
http://www.wikidata.org/entity/Q137771463,tomo utala
http://www.wikidata.org/entity/Q137771460,tomo moku
http://www.wikidata.org/entity/Q137771461,tomo sona
http://www.wikidata.org/entity/Q137771466,tu wan
http://www.wikidata.org/entity/Q137771465,tu tu
http://www.wikidata.org/entity/Q137763604,toki pona ligatures
http://www.wikidata.org/entity/Q137771370,ijo leko
http://www.wikidata.org/entity/Q137771371,ijo lili
http://www.wikidata.org/entity/Q137771368,anpa lawa
http://www.wikidata.org/entity/Q137771369,ijo lawa
http://www.wikidata.org/entity/Q137771374,ijo wile
http://www.wikidata.org/entity/Q137771375,ilo kipisi
http://www.wikidata.org/entity/Q137771372,ijo lon
http://www.wikidata.org/entity/Q137771373,ijo sijelo
http://www.wikidata.org/entity/Q137771378,ilo nanpa
http://www.wikidata.org/entity/Q137771379,ilo suno
http://www.wikidata.org/entity/Q137771376,ilo lukin
http://www.wikidata.org/entity/Q137771377,ilo musi
http://www.wikidata.org/entity/Q137771382,jan lawa
http://www.wikidata.org/entity/Q137771383,jan lili
http://www.wikidata.org/entity/Q137771380,ilo toki
http://www.wikidata.org/entity/Q137771386,jan sama
http://www.wikidata.org/entity/Q137771387,jan sewi
http://www.wikidata.org/entity/Q137771384,jan nasa
http://www.wikidata.org/entity/Q137771385,jan pali
http://www.wikidata.org/entity/Q137771390,kalama musi
http://www.wikidata.org/entity/Q137771391,kama sona
http://www.wikidata.org/entity/Q137771388,jan sona
http://www.wikidata.org/entity/Q137771389,jan utala
http://www.wikidata.org/entity/Q137771394,ko jaki
http://www.wikidata.org/entity/Q137771395,ko lete
http://www.wikidata.org/entity/Q137771392,kili palisa
http://www.wikidata.org/entity/Q137771393,kiwen kasi
http://www.wikidata.org/entity/Q137771398,len noka
http://www.wikidata.org/entity/Q137771399,linja pona
http://www.wikidata.org/entity/Q137771396,kule kasi
http://www.wikidata.org/entity/Q137771397,len lawa
http://www.wikidata.org/entity/Q137771403,lipu nimi
http://www.wikidata.org/entity/Q137771400,linja sike
http://www.wikidata.org/entity/Q137771401,lipu kule
http://www.wikidata.org/entity/Q137771406,lipu tenpo
http://www.wikidata.org/entity/Q137771407,lipu toki
http://www.wikidata.org/entity/Q137771404,lipu sewi
http://www.wikidata.org/entity/Q137771405,lipu sona
http://www.wikidata.org/entity/Q137771410,luka luka tu
http://www.wikidata.org/entity/Q137771411,luka luka tu tu
http://www.wikidata.org/entity/Q137771408,luka luka
http://www.wikidata.org/entity/Q137771409,luka luka luka
http://www.wikidata.org/entity/Q137771414,luka tu
http://www.wikidata.org/entity/Q137771415,luka tu tu
http://www.wikidata.org/entity/Q137771412,luka luka tu wan
http://www.wikidata.org/entity/Q137771413,luka luka wan
http://www.wikidata.org/entity/Q137771418,luka wan
http://www.wikidata.org/entity/Q137771419,lupa meli
http://www.wikidata.org/entity/Q137771417,luka tu wan
http://www.wikidata.org/entity/Q137771422,ma ali
http://www.wikidata.org/entity/Q137771423,ma pona
http://www.wikidata.org/entity/Q137771420,lupa monsi
http://www.wikidata.org/entity/Q137771421,ma ale
http://www.wikidata.org/entity/Q137771427,mije tonsi
http://www.wikidata.org/entity/Q137771424,ma tomo
http://www.wikidata.org/entity/Q137771425,meli tonsi
http://www.wikidata.org/entity/Q137771430,nena kon
http://www.wikidata.org/entity/Q137771431,nena kute
http://www.wikidata.org/entity/Q137771428,nasin nanpa
http://www.wikidata.org/entity/Q137771429,nasin sitelen
http://www.wikidata.org/entity/Q137771434,palisa lili
http://www.wikidata.org/entity/Q137771435,pilin ike
http://www.wikidata.org/entity/Q137771432,nena mama
http://www.wikidata.org/entity/Q137771433,nimi sin
http://www.wikidata.org/entity/Q137771438,poki lili
http://www.wikidata.org/entity/Q137771439,poki telo
http://www.wikidata.org/entity/Q137771436,pilin pona
http://www.wikidata.org/entity/Q137771437,poki len
